Airport,2022 Millions of Departing Passengers,AA,DL,UA,WN,Not Specified
Atlanta,45.37,,33.87,,3.68,7.82
Dallas/Fort Worth,35.33,24.34,,,,10.99
Denver,33.75,,,12.34,10.43,10.98
Chicago–O'Hare,33.13,7.71,,11.13,,14.29
Los Angeles,32.29,4.91,5.42,4.74,3.21,14.01
New York–JFK,26.99,3.37,6.23,,,17.39
Las Vegas,25.26,,,,8.87,16.39
Orlando,24.44,,,,4.79,19.65
Miami,23.68,13.93,,,,9.75
Charlotte,23.09,16.14,,,,6.95
Seattle/Tacoma[c],22.11,,4.47,,,17.64
Phoenix–Sky Harbor,21.79,7.39,,,7.62,6.78
Newark,21.66,,,12.15,,9.51
San Francisco,20.4,,,8.5,,11.9
Houston–Intercontinental,19.8,,,11.08,,8.72
Boston,15.42,,3.26,,,12.16
Fort Lauderdale,15.36,,,,,15.36
Minneapolis/St. Paul,15.2,,8.52,,,6.68
New York–LaGuardia,14.36,2.49,2.92,,,8.95
Detroit,13.73,,7.95,,,5.78