Column,Description
State, The state generally associated with the airport.
City, The city generally associated with the airport. This is not always the actual location since some airports are located in smaller towns outside of the city they serve.
FAA ," The location identifier assigned by the Federal Aviation Administration (FAA). These are linked to that airport's page in the state's airport directory, where available."
IATA , The airport code assigned by the International Air Transport Association (IATA). Those that do not match the FAA code are shown in bold.
ICAO , The location indicator assigned by the International Civil Aviation Organization (ICAO).
Airport, The official airport name.
Role," One of four FAA airport categories. This list only includes airports designated as Commercial service - primary (P). Each primary airport is further classified by the FAA as one of the following four ""hub"" types:"
Role P-L,"L: Large hub that accounts for at least 1% of total U.S. passenger enplanements (Generally 18,500,000 total passengers and above)."
Role P-M,"M: Medium hub that accounts for between 0.25% and 1% of total U.S. passenger enplanements (Generally 3,500,000-18,500,000 total passengers). This would make PDX a ""Medium Hub"" by total passengers, but a ""Large Hub"" under enplanements."
Role P-S,"S: Small hub that accounts for between 0.05% and 0.25% of total U.S. passenger enplanements (Generally 500,000-3,500,000 total passengers)."
Role P-N,"N: Nonhub that accounts for less than 0.05% of total U.S. passenger enplanements, but more than 10,000 annual enplanements"
Enplanements_2019,The number of enplanements (commercial passenger boardings) that occurred at the airport in calendar year 2019 as per FAA records.
,
Data Generation Method,Detail
Data Source,https://en.wikipedia.org/wiki/List_of_airports_in_the_United_States
Date Scraped,4/9/25
Cleaning Method,Sarah manually scraped & fixed erros